This is the initial evaluation order of activities computed by FET. If the generation gets stuck after a certain number of activities, please check the activity corresponding to this number+1. You might find errors in your input.

The initial order of activities (id-s):

No: 1, Id: 67, Duration: 1, Teachers: Michael Phelps, Subject: PC, Activity tags: Lectures, Students: EA/MN-232
No: 2, Id: 83, Duration: 1, Teachers: Michael Phelps, Subject: PC, Activity tags: Lectures, Students: TI-238
No: 3, Id: 84, Duration: 1, Teachers: Michael Phelps, Subject: PC, Activity tags: Lectures, Students: TI-239
No: 4, Id: 85, Duration: 1, Teachers: Michael Phelps, Subject: PC, Activity tags: Lectures, Students: TI-2310
No: 5, Id: 87, Duration: 1, Teachers: Usain Bold, Subject: PSA, Activity tags: Lectures, Students: EA/MN-232
No: 6, Id: 103, Duration: 1, Teachers: Usain Bold, Subject: PSA, Activity tags: Lectures, Students: TI-238
No: 7, Id: 104, Duration: 1, Teachers: Usain Bold, Subject: PSA, Activity tags: Lectures, Students: TI-239
No: 8, Id: 105, Duration: 1, Teachers: Usain Bold, Subject: PSA, Activity tags: Lectures, Students: TI-2310
No: 9, Id: 113, Duration: 1, Teachers: Christopher Newman, Subject: Etica și integritatea academică/ Psihologie inginerească/ Comportament organizațional, Activity tags: Lectures, Students: EA/MN-232
No: 10, Id: 116, Duration: 1, Teachers: Christopher Newman, Subject: Etica și integritatea academică/ Psihologie inginerească/ Comportament organizațional, Activity tags: Lectures, Students: TI-238
No: 11, Id: 117, Duration: 1, Teachers: Christopher Newman, Subject: Etica și integritatea academică/ Psihologie inginerească/ Comportament organizațional, Activity tags: Lectures, Students: TI-239
No: 12, Id: 118, Duration: 1, Teachers: Christopher Newman, Subject: Etica și integritatea academică/ Psihologie inginerească/ Comportament organizațional, Activity tags: Lectures, Students: TI-2310
No: 13, Id: 7, Duration: 1, Teachers: John Withcer, Subject: AM1, Activity tags: Lectures, Students: EA/MN-232
No: 14, Id: 30, Duration: 1, Teachers: John Withcer, Subject: AM1, Activity tags: Lectures, Students: TI-238
No: 15, Id: 31, Duration: 1, Teachers: John Withcer, Subject: AM1, Activity tags: Lectures, Students: TI-239
No: 16, Id: 32, Duration: 1, Teachers: John Withcer, Subject: AM1, Activity tags: Lectures, Students: TI-2310
No: 17, Id: 69, Duration: 1, Teachers: Michael Phelps, Subject: PC, Activity tags: Lectures, Students: IBM-232
No: 18, Id: 74, Duration: 1, Teachers: Michael Phelps, Subject: PC, Activity tags: Lectures, Students: SI-233
No: 19, Id: 75, Duration: 1, Teachers: Michael Phelps, Subject: PC, Activity tags: Lectures, Students: SI-234
No: 20, Id: 81, Duration: 1, Teachers: Michael Phelps, Subject: PC, Activity tags: Lectures, Students: TI-236
No: 21, Id: 82, Duration: 1, Teachers: Michael Phelps, Subject: PC, Activity tags: Lectures, Students: TI-237
No: 22, Id: 86, Duration: 1, Teachers: Michael Phelps, Subject: PC, Activity tags: Lectures, Students: FI-231
No: 23, Id: 89, Duration: 1, Teachers: Usain Bold, Subject: PSA, Activity tags: Lectures, Students: IBM-232
No: 24, Id: 94, Duration: 1, Teachers: Usain Bold, Subject: PSA, Activity tags: Lectures, Students: SI-233
No: 25, Id: 95, Duration: 1, Teachers: Usain Bold, Subject: PSA, Activity tags: Lectures, Students: SI-234
No: 26, Id: 101, Duration: 1, Teachers: Usain Bold, Subject: PSA, Activity tags: Lectures, Students: TI-236
No: 27, Id: 102, Duration: 1, Teachers: Usain Bold, Subject: PSA, Activity tags: Lectures, Students: TI-237
